,Position 0.0 mm,Position 1.0 mm,Position 2.0 mm,Position 3.0 mm,Position 4.0 mm,Position 5.0 mm,Position 6.0 mm,Position 7.0 mm,Position 8.0 mm,Position 9.0 mm,Position 10.0 mm,Position 11.0 mm,Position 12.0 mm,Position 13.0 mm,Position 14.0 mm,Position 15.0 mm,Position 16.0 mm,Position 17.0 mm,Position 18.0 mm,Position 19.0 mm,Position 20.0 mm,Position 21.0 mm,Position 22.0 mm,Position 23.0 mm,Position 24.0 mm,Position 25.0 mm,Position 26.0 mm
410,1000.00,945.23,890.71,836.68,783.37,731.00,679.79,629.91,581.53,534.81,489.84,446.73,405.54,366.29,328.99,293.62,260.12,228.41,198.39,169.93,142.88,117.09,92.35,68.49,45.29,22.53,0.00
411,1000.00,945.30,890.84,836.86,783.61,731.29,680.12,630.28,581.95,535.25,490.31,447.21,406.03,366.78,329.47,294.09,260.56,228.83,198.78,170.28,143.19,117.35,92.57,68.66,45.40,22.59,0.00
412,1000.00,945.36,890.96,837.04,783.84,731.58,680.45,630.66,582.36,535.69,490.77,447.69,406.51,367.26,329.95,294.55,261.01,229.25,199.17,170.63,143.51,117.62,92.79,68.82,45.51,22.64,0.00
413,1000.00,945.42,891.08,837.22,784.07,731.86,680.79,631.03,582.76,536.12,491.23,448.17,406.99,367.75,330.43,295.02,261.46,229.67,199.55,170.98,143.82,117.88,93.00,68.99,45.62,22.70,0.00
414,1000.00,945.48,891.20,837.40,784.31,732.15,681.12,631.40,583.17,536.56,491.69,448.64,407.48,368.23,330.91,295.48,261.90,230.09,199.94,171.33,144.12,118.15,93.22,69.15,45.73,22.76,0.00
415,1000.00,945.54,891.32,837.58,784.54,732.43,681.45,631.77,583.58,536.99,492.14,449.11,407.95,368.71,331.38,295.94,262.34,230.50,200.32,171.68,144.43,118.41,93.43,69.31,45.84,22.81,0.00
416,1000.00,945.60,891.44,837.75,784.77,732.71,681.77,632.14,583.98,537.43,492.60,449.58,408.43,369.19,331.85,296.40,262.78,230.92,200.71,172.03,144.74,118.67,93.65,69.47,45.95,22.87,0.00
417,1000.00,945.66,891.56,837.93,785.00,732.99,682.10,632.51,584.38,537.86,493.05,450.05,408.91,369.67,332.32,296.86,263.22,231.33,201.09,172.38,145.04,118.93,93.86,69.64,46.06,22.92,0.00
418,1000.00,945.72,891.68,838.10,785.23,733.27,682.43,632.88,584.78,538.29,493.50,450.51,409.38,370.14,332.79,297.32,263.66,231.74,201.47,172.72,145.35,119.19,94.07,69.80,46.17,22.98,0.00
419,1000.00,945.78,891.79,838.28,785.46,733.55,682.75,633.24,585.18,538.71,493.95,450.98,409.85,370.61,333.26,297.77,264.09,232.15,201.85,173.07,145.65,119.45,94.28,69.96,46.28,23.03,0.00
420,1000.00,945.84,891.91,838.45,785.69,733.83,683.07,633.60,585.58,539.14,494.40,451.44,410.33,371.09,333.73,298.22,264.53,232.56,202.23,173.41,145.96,119.71,94.49,70.12,46.39,23.08,0.00
421,1000.00,945.90,892.03,838.63,785.91,734.10,683.39,633.96,585.98,539.56,494.84,451.90,410.79,371.56,334.19,298.68,264.96,232.97,202.61,173.75,146.26,119.97,94.70,70.28,46.49,23.14,0.00
422,1000.00,945.96,892.14,838.80,786.14,734.38,683.71,634.32,586.37,539.99,495.29,452.36,411.26,372.02,334.65,299.13,265.39,233.38,202.99,174.09,146.56,120.22,94.91,70.44,46.60,23.19,0.00
423,1000.00,946.01,892.26,838.97,786.36,734.65,684.03,634.68,586.76,540.41,495.73,452.82,411.73,372.49,335.11,299.57,265.82,233.78,203.36,174.43,146.86,120.48,95.12,70.60,46.71,23.25,0.00
424,1000.00,946.07,892.38,839.14,786.59,734.92,684.35,635.04,587.15,540.83,496.17,453.27,412.19,372.96,335.57,300.02,266.25,234.19,203.73,174.77,147.16,120.74,95.33,70.76,46.82,23.30,0.00
425,1000.00,946.13,892.49,839.31,786.81,735.20,684.67,635.40,587.54,541.25,496.61,453.73,412.65,373.42,336.03,300.47,266.68,234.59,204.11,175.11,147.46,120.99,95.54,70.92,46.92,23.35,0.00
426,1000.00,946.19,892.61,839.48,787.03,735.47,684.98,635.75,587.93,541.66,497.05,454.18,413.11,373.88,336.49,300.91,267.10,234.99,204.48,175.45,147.75,121.24,95.75,71.07,47.03,23.41,0.00
427,1000.00,946.25,892.72,839.65,787.25,735.74,685.30,636.10,588.32,542.08,497.48,454.63,413.57,374.34,336.94,301.35,267.53,235.39,204.85,175.78,148.05,121.50,95.95,71.23,47.13,23.46,0.00
428,1000.00,946.30,892.83,839.82,787.47,736.01,685.61,636.46,588.70,542.49,497.92,455.08,414.03,374.80,337.39,301.79,267.95,235.79,205.22,176.11,148.34,121.75,96.16,71.39,47.24,23.51,0.00
429,1000.00,946.36,892.95,839.99,787.69,736.27,685.92,636.81,589.09,542.90,498.35,455.53,414.48,375.25,337.84,302.23,268.37,236.19,205.58,176.45,148.64,122.00,96.36,71.54,47.35,23.57,0.00
430,1000.00,946.42,893.06,840.15,787.91,736.54,686.23,637.15,589.47,543.31,498.78,455.97,414.94,375.71,338.29,302.67,268.79,236.58,205.95,176.78,148.93,122.25,96.57,71.70,47.45,23.62,0.00
431,1000.00,946.47,893.17,840.32,788.13,736.80,686.54,637.50,589.85,543.72,499.21,456.42,415.39,376.16,338.74,303.11,269.21,236.98,206.32,177.11,149.22,122.50,96.77,71.85,47.55,23.67,0.00
432,1000.00,946.53,893.28,840.48,788.35,737.07,686.85,637.85,590.23,544.13,499.64,456.86,415.84,376.61,339.19,303.54,269.62,237.37,206.68,177.44,149.51,122.75,96.97,72.01,47.66,23.73,0.00
433,1000.00,946.59,893.40,840.65,788.56,737.33,687.15,638.19,590.61,544.53,500.07,457.30,416.29,377.06,339.63,303.97,270.04,237.76,207.04,177.77,149.80,123.00,97.18,72.16,47.76,23.78,0.00
434,1000.00,946.64,893.51,840.81,788.78,737.59,687.46,638.54,590.99,544.93,500.49,457.74,416.73,377.51,340.08,304.40,270.45,238.15,207.40,178.10,150.09,123.24,97.38,72.32,47.87,23.83,0.00
